Outer pipe diameter;    Inner pipe diameter;    Inner pipe socket tyPE;     Count
[500;                     400;                            BOE;                 1]
[500;                     400;                            ZOE;                 1]
[500;                     400;                            PE;                  1]
[500;                     355;                            BOE;                 1]
[500;                     355;                            ZOE;                 1]
[500;                     355;                            PE;                  1]
[500;                     315;                            BOE;                 1]
[500;                     315;                            ZOE;                 1]
[500;                     315;                            PE;                  1]
[500;                     250;                            BOE;                 1]
[500;                     250;                            ZOE;                 1]
[500;                     250;                            PE;                  1]
[500;                     200;                            BOE;                 2]
[500;                     200;                            ZOE;                 2]
[500;                     200;                            PE;                  2]
[500;                     160;                            BOE;                 4]
[500;                     160;                            ZOE;                 4]
[500;                     160;                            PE;                  4]
[500;                     140;                            BOE;                 5]
[500;                     140;                            ZOE;                 5]
[500;                     140;                            PE;                  5]
[500;                     125;                            BOE;                 7]
[500;                     125;                            ZOE;                 7]
[500;                     125;                            PE;                  7]
[500;                     110;                            BOE;                 8]
[500;                     110;                            ZOE;                 8]
[500;                     110;                            PE;                  8]
[500;                     90;                             BOE;                 14]
[500;                     90;                             ZOE;                 14]
[500;                     90;                             PE;                  14]
[500;                     75;                             BOE;                 17]
[500;                     75;                             ZOE;                 17]
[500;                     75;                             PE;                  17]
[500;                     63;                             BOE;                 22]
[500;                     63;                             ZOE;                 22]
[500;                     63;                             PE;                  22]
[500;                     50;                             BOE;                 36]
[500;                     50;                             ZOE;                 36]
[500;                     50;                             PE;                  36]
[500;                     40;                             BOE;                 86]
[500;                     40;                             PE;                  86]
[500;                     32;                             BOE;                 123]
[500;                     32;                             PE;                  123]
[500;                     25;                             BOE;                 285]
[500;                     25;                             PE;                  285]
[500;                     20;                             BOE;                 342]
[500;                     20;                             PE;                  342]
[400;                     355;                            BOE;                 1]
[400;                     355;                            ZOE;                 0]
[400;                     355;                            PE;                  1]
[400;                     315;                            BOE;                 1]
[400;                     315;                            ZOE;                 1]
[400;                     315;                            PE;                  1]
[400;                     250;                            BOE;                 1]
[400;                     250;                            ZOE;                 1]
[400;                     250;                            PE;                  1]
[400;                     200;                            BOE;                 1]
[400;                     200;                            ZOE;                 1]
[400;                     200;                            PE;                  1]
[400;                     160;                            BOE;                 2]
[400;                     160;                            ZOE;                 2]
[400;                     160;                            PE;                  2]
[400;                     140;                            BOE;                 3]
[400;                     140;                            ZOE;                 3]
[400;                     140;                            PE;                  3]
