Item code;                 Diameter;                 Socket type
[
[129-02016/AGR;                 20;                 BOE]
[129-02016-PE/AGR;              20;                 PE]
[129-02512/AGR;                 25;                 BOE]
[129-02516/AGR;                 25;                 BOE]
[129-02516-PE/AGR;              25;                 PE]
[129-03209/AGR;                 32;                 BOE]
[129-03209-5.75-BOE/AGR;        32;                 BOE]
[129-03209-PE/AGR;              32;                 PE]
[129-03212/AGR;                 32;                 BOE]
[129-03212-PE/AGR;              32;                 PE]
[129-03216/AGR;                 32;                 BOE]
[129-03216-PE/AGR;              32;                 PE]
[129-04006/AGR;                 40;                 BOE]
[129-04006-PE/AGR;              40;                 PE]
[129-04009/AGR;                 40;                 BOE]
[129-04009-5.75-BOE/AGR;        40;                 BOE]
[129-04009-PE/AGR;              40;                 PE]
[129-04012/AGR;                 40;                 BOE]
[129-04012-PE/AGR;              40;                 PE]
[129-04016/AGR;                 40;                 BOE]
[129-04016-PE/AGR;              40;                 PE]
[129-05004/AGR;                 50;                 ZOE]
[129-05006/AGR;                 50;                 ZOE]
[129-05006-PE/AGR;              50;                 PE]
[129-05009/AGR;                 50;                 ZOE]
[129-05009-5.75-BOE/AGR;        50;                 BOE]
[129-05009-BOE/AGR;             50;                 BOE]
[129-05012/AGR;                 50;                 ZOE]
[129-05016/AGR;                 50;                 ZOE]
[129-06304/AGR;                 63;                 ZOE]
[129-06306/AGR;                 63;                 ZOE]
[129-06306-BOE/AGR;             63;                 BOE]
[129-06309/AGR;                 63;                 ZOE]
[129-06309-5.75-BOE/AGR;        63;                 BOE]
[129-06309-BOE/AGR;             63;                 BOE]
[129-06312/AGR;                 63;                 ZOE]
[129-06316/AGR;                 63;                 ZOE]
[129-07504/AGR;                 75;                 ZOE]
[129-07506/AGR;                 75;                 ZOE]
[129-07506-5.75-BOE/AGR;        75;                 BOE]
[129-07506-BOE/AGR;             75;                 BOE]
[129-07509/AGR;                 75;                 ZOE]
[129-07509-BOE/AGR;             75;                 BOE]
[129-07512/AGR;                 75;                 ZOE]
[129-07512-41/AGR;              75;                 PE]
[129-07516/AGR;                 75;                 ZOE]
[129-09004/AGR;                 90;                 ZOE]
[129-09006/AGR;                 90;                 ZOE]
[129-09006-5.75-BOE/AGR;        90;                 BOE]
[129-09009/AGR;                 90;                 ZOE]
[129-09009-5.75-BOE/AGR;        90;                 BOE]
[129-09012/AGR;                 90;                 ZOE]
[129-09012-41/AGR;              90;                 PE]
[129-09016/AGR;                 90;                 ZOE]
[129-09020/AGR;                 90;                 ZOE]
[129-11004/AGR;                 110;                 ZOE]
[129-11006/AGR;                 110;                 ZOE]
[129-11006-5.75-BOE/AGR;        110;                 BOE]
[129-11009/AGR;                 110;                 ZOE]
[129-11009-5.75-BOE/AGR;        110;                 BOE]
[129-11012/AGR;                 110;                 ZOE]
[129-11012-41/AGR;              110;                 PE]
[129-11016/AGR;                 110;                 ZOE]
[129-11020/AGR;                 110;                 ZOE]
[129-12504/AGR;                 125;                 ZOE]
[129-12506/AGR;                 125;                 ZOE]
[129-12509/AGR;                 125;                 ZOE]
[129-12512/AGR;                 125;                 ZOE]
[129-12516/AGR;                 125;                 ZOE]
[129-12520/AGR;                 125;                 ZOE]
[129-14004/AGR;                 140;                 ZOE]
[129-14006/AGR;                 140;                 ZOE]
[129-14006-5.7/AGR;             140;                 ZOE]
[129-14009/AGR;                 140;                 ZOE]
[129-14012/AGR;                 140;                 ZOE]
[129-14016/AGR;                 140;                 ZOE]
[129-14020/AGR;                 140;                 ZOE]
[129-16004/AGR;                 160;                 ZOE]
[129-16006/AGR;                 160;                 ZOE]
[129-16006-5.62/AGR;            160;                 ZOE]
[129-16009/AGR;                 160;                 ZOE]
[129-16009-5.62/AGR;            160;                 ZOE]
[129-16012/AGR;                 160;                 ZOE]
[129-16012-41/AGR;              160;                 PE]
[129-16016/AGR;                 160;                 ZOE]
[129-16020/AGR;                 160;                 ZOE]
[129-20004/AGR;                 200;                 ZOE]
[129-20006/AGR;                 200;                 ZOE]
[129-20006-5.68/AGR;            200;                 PE]
[129-20009/AGR;                 200;                 ZOE]
[129-20012/AGR;                 200;                 ZOE]
[129-20012-41/AGR;              200;                 PE]
[129-20016/AGR;                 200;                 ZOE]
[129-20020/AGR;                 200;                 ZOE]
[129-25004/AGR;                 250;                 ZOE]
[129-25006/AGR;                 250;                 ZOE]
[129-25009/AGR;                 250;                 ZOE]
[129-25012/AGR;                 250;                 ZOE]
[129-25016/AGR;                 250;                 ZOE]
[129-25020/AGR;                 250;                 ZOE]
[129-31504/AGR;                 315;                 ZOE]
[129-31506/AGR;                 315;                 ZOE]
[129-31506-5.63/AGR;            315;                 ZOE]
[129-31509/AGR;                 315;                 ZOE]
[129-31512/AGR;                 315;                 ZOE]
[129-31516/AGR;                 315;                 ZOE]
[129-35504/AGR;                 355;                 ZOE]
[129-35506/AGR;                 355;                 ZOE]
[129-35509/AGR;                 355;                 ZOE]
[129-35512/AGR;                 355;                 ZOE]
[129-35516/AGR;                 355;                 ZOE]
[129-40004/AGR;                 400;                 ZOE]
[129-40006/AGR;                 400;                 ZOE]
[129-40006-5.6/AGR;             400;                 ZOE]
[129-40009/AGR;                 400;                 ZOE]
[129-40012/AGR;                 400;                 ZOE]
[129-40016/AGR;                 400;                 ZOE]
[129-50004/AGR;                 500;                 ZOE]
[129-50006/AGR;                 500;                 ZOE]
[129-50009/AGR;                 500;                 ZOE]
[129-50012/AGR;                 500;                 ZOE]
[130-11034/AGR;                 110;                 ZOE]
[130-11051/AGR;                 110;                 ZOE]
[130-11051-PE/AGR;              110;                 PE]
[130-16034/AGR;                 160;                 ZOE]
[130-16051/AGR;                 160;                 ZOE]
[130-16051-PE/AGR;              160;                 PE]
[130-20034/AGR;                 200;                 ZOE]
[130-20051/AGR;                 200;                 ZOE]
[130-25034/AGR;                 250;                 ZOE]
[130-25051/AGR;                 250;                 ZOE]
[130-31534/AGR;                 315;                 ZOE]
[130-31551/AGR;                 315;                 ZOE]
[130-35534/AGR;                 355;                 ZOE]
[130-35551/AGR;                 355;                 ZOE]
[130-40034/AGR;                 400;                 ZOE]
[130-40051/AGR;                 400;                 ZOE]
[130-50034/AGR;                 500;                 ZOE]
[130-50051/AGR;                 500;                 ZOE]
[131-05006/AGR;                 50;                 ZOE]
[131-05009/AGR;                 50;                 ZOE]
[131-05012/AGR;                 50;                 ZOE]
[131-05016/AGR;                 50;                 ZOE]
[131-05020/AGR;                 50;                 ZOE]
[131-06306/AGR;                 63;                 ZOE]
[131-06309/AGR;                 63;                 ZOE]
[131-06312/AGR;                 63;                 ZOE]
[131-06316/AGR;                 63;                 ZOE]
[131-06320/AGR;                 63;                 ZOE]
[131-07506/AGR;                 75;                 ZOE]
[131-07509/AGR;                 75;                 ZOE]
[131-07512/AGR;                 75;                 ZOE]
[131-07516/AGR;                 75;                 ZOE]
[131-07520/AGR;                 75;                 ZOE]
[131-09006/AGR;                 90;                 ZOE]
[131-09009/AGR;                 90;                 ZOE]
[131-09012/AGR;                 90;                 ZOE]
[131-09016/AGR;                 90;                 ZOE]
[131-09020/AGR;                 90;                 ZOE]
[131-09025/AGR;                 90;                 ZOE]
[131-11006/AGR;                 110;                 ZOE]
[131-11009/AGR;                 110;                 ZOE]
[131-11012/AGR;                 110;                 ZOE]
[131-11016/AGR;                 110;                 ZOE]
[131-11020/AGR;                 110;                 ZOE]
[131-11025/AGR;                 110;                 ZOE]
[131-12506/AGR;                 125;                 ZOE]
[131-12509/AGR;                 125;                 ZOE]
[131-12512/AGR;                 125;                 ZOE]
[131-12516/AGR;                 125;                 ZOE]
[131-12520/AGR;                 125;                 ZOE]
[131-12525/AGR;                 125;                 ZOE]
[131-14006/AGR;                 140;                 ZOE]
[131-14009/AGR;                 140;                 ZOE]
[131-14012/AGR;                 140;                 ZOE]
[131-14016/AGR;                 140;                 ZOE]
[131-14020/AGR;                 140;                 ZOE]
[131-14025/AGR;                 140;                 ZOE]
[131-16006/AGR;                 160;                 ZOE]
[131-16009/AGR;                 160;                 ZOE]
[131-16012/AGR;                 160;                 ZOE]
[131-16016/AGR;                 160;                 ZOE]
[131-16020/AGR;                 160;                 ZOE]
[131-16025/AGR;                 160;                 ZOE]
[131-20006/AGR;                 200;                 ZOE]
[131-20009/AGR;                 200;                 ZOE]
[131-20012/AGR;                 200;                 ZOE]
[131-20016/AGR;                 200;                 ZOE]
[131-20020/AGR;                 200;                 ZOE]
[131-20025/AGR;                 200;                 ZOE]
[131-25006/AGR;                 250;                 ZOE]
[131-25009/AGR;                 250;                 ZOE]
[131-25012/AGR;                 250;                 ZOE]
[131-25016/AGR;                 250;                 ZOE]
[131-25020/AGR;                 250;                 ZOE]
[131-25025/AGR;                 250;                 ZOE]
[131-31506/AGR;                 315;                 ZOE]
[131-31509/AGR;                 315;                 ZOE]
[131-31512/AGR;                 315;                 ZOE]
[131-31516/AGR;                 315;                 ZOE]
[131-31520/AGR;                 315;                 ZOE]
[131-35506/AGR;                 355;                 ZOE]
[131-35509/AGR;                 355;                 ZOE]
[131-35512/AGR;                 355;                 ZOE]
[131-35516/AGR;                 355;                 ZOE]
[131-35520/AGR;                 355;                 ZOE]
[131-40006/AGR;                 400;                 ZOE]
[131-40009/AGR;                 400;                 ZOE]
[131-40012/AGR;                 400;                 ZOE]
[131-40016/AGR;                 400;                 ZOE]
[131-40020/AGR;                 400;                 ZOE]
[131-50006/AGR;                 500;                 ZOE]
[131-50009/AGR;                 500;                 ZOE]
[131-50012/AGR;                 500;                 ZOE]
[131-50016/AGR;                 500;                 ZOE]
[131-63006/AGR;                 630;                 ZOE]
]
